episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7333519568431017,True,tempered_reward,20,0.1,0.021153219113448096,False
1,0.8999929439371834,True,tempered_reward,20,0.1,0.0028102507832083456,False
2,0.9292797138499183,True,tempered_reward,20,0.1,0.0003733478777942778,False
3,0.9348509683916788,True,tempered_reward,20,0.1,4.9600070814442844e-05,False
4,0.9301373990902977,True,tempered_reward,20,0.1,6.5894763868257215e-06,False
5,0.9329879077627814,True,tempered_reward,20,0.1,8.75426150404035e-07,False
6,0.924034450393352,True,tempered_reward,20,0.1,1.1630225222880597e-07,False
7,0.9333057233754524,True,tempered_reward,20,0.1,1.545100505873087e-08,False
8,0.9308583421470995,True,tempered_reward,20,0.1,2.052699338284114e-09,False
9,0.9325953815489079,True,tempered_reward,20,0.1,2.7270554148195457e-10,False
10,0.9285135949599426,True,tempered_reward,20,0.1,3.622951383341899e-11,False
11,0.9327587425510193,True,tempered_reward,20,0.1,4.813172083117933e-12,False
12,0.9305511359267591,True,tempered_reward,20,0.1,6.394385021479821e-13,False
13,0.9270862835886874,True,tempered_reward,20,0.1,8.495426584431698e-14,False
14,0.9291124977141957,True,tempered_reward,20,0.1,1.1285417045314717e-14,False
15,0.9299735013857395,True,tempered_reward,20,0.1,1.4932499681208355e-15,False
16,0.9288796262351662,True,tempered_reward,20,0.1,2.0539125955565397e-16,False
17,0.9335885631664824,True,tempered_reward,20,0.1,0.0,False
18,0.9319964610954502,True,tempered_reward,20,0.1,0.0,False
19,0.9314946478955741,True,tempered_reward,20,0.1,0.0,False
20,0.9318511113773299,True,tempered_reward,20,0.1,0.0,False
21,0.9489946896711061,True,tempered_reward,20,0.1,0.0006806893815311077,False
22,0.9714153866376858,True,tempered_reward,20,0.1,0.0007720262306514791,False
23,0.9988326533911718,True,tempered_reward,20,0.1,0.0007835528875685616,False
24,1.0130949711297599,True,tempered_reward,20,0.1,0.000784743607662991,False
25,1.0415829732637047,True,tempered_reward,20,0.1,0.0007846646539910629,False
26,1.0715492568936358,True,tempered_reward,20,0.1,0.0007844476239744546,False
27,1.095420472044529,True,tempered_reward,20,0.1,0.0007842269000404356,False
28,1.1172882980469998,True,tempered_reward,20,0.1,0.0007840170128895263,False
29,1.140682495427268,True,tempered_reward,20,0.1,0.0007838187747839897,False
30,1.1639178827717038,True,tempered_reward,20,0.1,0.0007836315541584149,False
31,1.1861122587868007,True,tempered_reward,20,0.1,0.0007834546275691301,False
32,1.2139735399992018,True,tempered_reward,20,0.1,0.0007832873167802568,False
33,1.2173219655117504,True,tempered_reward,20,0.1,6.209332105157061e-05,False
34,1.2005440478510374,True,tempered_reward,20,0.1,-0.0007105120719395897,False
35,1.1743832523197593,True,tempered_reward,20,0.1,-0.0007711426887460404,False
36,1.1560269165332486,True,tempered_reward,20,0.1,-0.0007759658020923931,False
37,1.1325541598082987,True,tempered_reward,20,0.1,-0.0007762140691924491,False
38,1.1007883305815187,True,tempered_reward,20,0.1,-0.0007760622426399799,False
39,1.0772917940708933,True,tempered_reward,20,0.1,-0.0007758647582201961,False
40,1.0524815427493497,True,tempered_reward,20,0.1,-0.0007756523726432929,False
41,1.0337922434139837,True,tempered_reward,20,0.1,-0.0007754271735556373,False
42,1.0077758656571372,True,tempered_reward,20,0.1,-0.0007751885370099632,False
43,0.9833317803131297,True,tempered_reward,20,0.1,-0.0007749355027000637,False
44,0.9631185096950519,True,tempered_reward,20,0.1,-0.0007746669928695215,False
45,0.9342570195659754,True,tempered_reward,20,0.1,-0.0007743818246174373,False
46,0.9325283459034865,True,tempered_reward,20,0.1,-0.00010287829561363981,False
47,0.9282343580245207,True,tempered_reward,20,0.1,-1.3667603463701772e-05,False
48,0.9291435722971448,True,tempered_reward,20,0.1,-1.8157705989008122e-06,False
49,0.9315266881398798,True,tempered_reward,20,0.1,-2.4122904038748063e-07,False
50,0.9300264147382856,True,tempered_reward,20,0.1,-3.20477983040135e-08,False
51,0.9304648111171904,True,tempered_reward,20,0.1,-4.257619129477419e-09,False
52,0.9287274841606002,True,tempered_reward,20,0.1,-5.656338841752983e-10,False
53,0.9306607966666978,True,tempered_reward,20,0.1,-7.514568411970402e-11,False
54,0.932730950568302,True,tempered_reward,20,0.1,-9.983258664192362e-12,False
55,0.9277226785935966,True,tempered_reward,20,0.1,-1.3263057319079507e-12,False
56,0.9300347786243869,True,tempered_reward,20,0.1,-1.7619794512313546e-13,False
57,0.9282878178522379,True,tempered_reward,20,0.1,-2.3414603589344552e-14,False
58,0.9260052487127336,True,tempered_reward,20,0.1,-3.1030733538273125e-15,False
59,0.9279704473727003,True,tempered_reward,20,0.1,-4.1078251911130794e-16,False
