evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
1,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
2,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
3,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
4,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
5,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
6,stay,fixed,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.13,True
7,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1330723606404587,1.0730723606404586,1.1285097358893956,1.0685097358893956,False,no_candidate_improvement,-0.06000000000000005,0.13,False
8,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347814293155651,1.074781429315565,1.1346643445222486,1.0746643445222486,False,no_candidate_improvement,-0.06000000000000005,0.13,False
9,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347679452467823,1.0747679452467822,1.134630230666334,1.074630230666334,False,no_candidate_improvement,-0.06000000000000005,0.13,False
10,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347363228736185,1.0747363228736184,1.1345973682614743,1.0745973682614742,False,no_candidate_improvement,-0.06000000000000005,0.13,False
11,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1347221116147304,1.0747221116147303,1.134583322318101,1.074583322318101,False,no_candidate_improvement,-0.06000000000000005,0.13,False
12,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1346770546079474,1.0746770546079474,1.1345304283594715,1.0745304283594714,False,no_candidate_improvement,-0.06000000000000005,0.13,False
13,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1346305295351193,1.0746305295351193,1.1345245763286316,1.0745245763286315,False,no_candidate_improvement,-0.06000000000000005,0.13,False
14,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.1345767511958136,1.0745767511958135,1.1344950895882637,1.0744950895882637,False,no_candidate_improvement,-0.06000000000000005,0.13,False
15,stay,fixed,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0600, threshold=0.1300.",1.134568705226896,1.074568705226896,1.134487901478197,1.074487901478197,False,no_candidate_improvement,-0.06000000000000005,0.13,False
