evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
1,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
2,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
3,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
4,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
5,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
6,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
7,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
8,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
9,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0979, threshold=0.2100.",0.94546181070053,0.8475165398713427,0.938630830056997,0.8407577183117383,False,no_candidate_improvement,-0.0978731117452587,0.21000000000000002,False
10,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9456508559484386,0.847651017911933,0.9390396162267727,0.8410396771548017,False,no_candidate_improvement,-0.09799993907197102,0.21000000000000002,False
11,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9449220305719802,0.8469220310334027,0.9380593533361473,0.8400593529829518,False,no_candidate_improvement,-0.09800000035319556,0.21000000000000002,False
12,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9435797616058406,0.8455797616071601,0.9367705581536234,0.8387705581517765,False,no_candidate_improvement,-0.09800000000184694,0.21000000000000002,False
13,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9424285248554627,0.8444285248554675,0.9367605193176163,0.8387605193176056,False,no_candidate_improvement,-0.09800000000001063,0.21000000000000002,False
14,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9412059852189817,0.8432059852189816,0.9376519817054946,0.8396519817054944,False,no_candidate_improvement,-0.0980000000000002,0.21000000000000002,False
15,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.940659427098419,0.8426594270984189,0.9383051473513347,0.8403051473513347,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
16,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9413899892521009,0.8433899892521011,0.9378341327923595,0.8398341327923596,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
17,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9424610015898501,0.8444610015898502,0.9377621326096337,0.8397621326096337,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
18,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9431651565826591,0.8451651565826592,0.9377209557561705,0.8397209557561707,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
19,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9436638460239439,0.845663846023944,0.93776501799036,0.8397650179903601,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
20,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9442098124285939,0.846209812428594,0.9380781827156699,0.84007818271567,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
21,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9444717020223179,0.846471702022318,0.9385595472744759,0.840559547274476,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
